latitude,longitude,recorded_at,day_of_week,day_of_week_num,is_weekend,month,hour,period,noise_class,noise_level_dba
43.238371,76.914357,2026-02-25T15:14:34+05:00,Wednesday,2,0,2,15,daytime,others,52.82
43.237236,76.924403,2026-03-22T09:41:58+05:00,Sunday,6,1,3,9,morning,transport,68.87
43.233136,76.975432,2026-04-19T18:41:44+05:00,Sunday,6,1,4,18,evening,human,60.49
43.259635,76.943863,2026-02-23T11:52:08+05:00,Monday,0,0,2,11,daytime,transport,65.48
43.239064,76.927923,2026-01-30T08:02:45+05:00,Friday,4,0,1,8,morning,transport,83.41
43.287816,76.891904,2025-12-02T10:18:12+05:00,Tuesday,1,0,12,10,morning,others,66.02
43.262781,76.952689,2026-03-21T18:34:31+05:00,Saturday,5,1,3,18,evening,human,70.89
43.240825,76.91844,2026-04-03T08:22:15+05:00,Friday,4,0,4,8,morning,transport,68.89
43.221722,76.901188,2026-02-23T06:53:23+05:00,Monday,0,0,2,6,morning,others,38.15
43.252076,76.944405,2025-12-07T17:23:57+05:00,Sunday,6,1,12,17,evening,human,68.53
43.254378,76.946459,2025-11-11T09:27:45+05:00,Tuesday,1,0,11,9,morning,human,63.29
43.286271,76.891353,2026-02-13T17:44:55+05:00,Friday,4,0,2,17,evening,building_noise,77.12
43.239377,76.917546,2026-01-23T08:09:15+05:00,Friday,4,0,1,8,morning,transport,69.12
43.238509,76.919791,2026-01-04T20:35:33+05:00,Sunday,6,1,1,20,evening,transport,71.44
43.354075,77.036802,2026-02-25T18:22:17+05:00,Wednesday,2,0,2,18,evening,transport,77.7
43.222825,76.898775,2025-12-13T21:38:08+05:00,Saturday,5,1,12,21,late_evening,others,41.45
43.266483,76.926347,2026-03-19T07:07:13+05:00,Thursday,3,0,3,7,morning,human,63.4
43.260508,76.967325,2026-02-17T13:51:46+05:00,Tuesday,1,0,2,13,daytime,animals,47.03
43.259922,76.972188,2025-12-16T11:00:52+05:00,Tuesday,1,0,12,11,daytime,others,49.65
43.282106,76.88863,2025-11-01T08:51:43+05:00,Saturday,5,1,11,8,morning,building_noise,81.65
43.257295,76.971487,2025-11-06T07:36:56+05:00,Thursday,3,0,11,7,morning,animals,43.26
43.253745,76.943602,2025-11-23T17:39:23+05:00,Sunday,6,1,11,17,evening,human,66.29
43.344052,76.952462,2026-02-09T08:54:14+05:00,Monday,0,0,2,8,morning,transport,80.93
43.255983,76.975694,2026-04-23T23:58:13+05:00,Thursday,3,0,4,23,late_evening,animals,35.02
43.218346,76.926678,2026-03-10T09:58:02+05:00,Tuesday,1,0,3,9,morning,transport,79.1
43.260931,76.967597,2026-01-18T10:41:30+05:00,Sunday,6,1,1,10,morning,animals,50.25
43.235532,76.958133,2026-04-05T18:55:20+05:00,Sunday,6,1,4,18,evening,human,61.47
43.284286,76.893573,2026-04-20T17:01:47+05:00,Monday,0,0,4,17,evening,building_noise,72.56
43.265518,76.82608,2026-01-24T15:21:44+05:00,Saturday,5,1,1,15,daytime,others,49.91
